STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,SECT_PERF,Sector of performance,SECT_FUND,Sources of funds,TYPE_COST,Type of expenditure,TYPE_RD,Type of R&D,FORD,Field of R&D,SEO,Socio-economic objectives,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,AUX_OBS_STATUS,Aux observation status,AUX_OBS_STATUS_2,Aux observation status 2,AUX_OBS_STATUS_3,Aux observation status 3,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,BASE_PER,Base Period,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_SEO(1.0),Gross domestic expenditure on R&D by sector of performance and socio-economic objectives,I,AUS,Australia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),GOV,Government sector,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NABS14,Defence,USD_PPP,"US dollars, PPP converted",V,Current prices,2020,,429.3013298,,,,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_SEO(1.0),Gross domestic expenditure on R&D by sector of performance and socio-economic objectives,I,AUT,Austria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),GOV,Government sector,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NABS11,"Political and social systems, structures and processes",USD_PPP,"US dollars, PPP converted",V,Current prices,2017,,63.64444371,,,,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_SEO(1.0),Gross domestic expenditure on R&D by sector of performance and socio-economic objectives,I,BEL,Belgium,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),GOV,Government sector,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NABS09,Education,USD_PPP,"US dollars, PPP converted",Q,Constant prices,2022,,0.556346067,,,,,,,,,,,,,,,,6,Millions,2020,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_SEO(1.0),Gross domestic expenditure on R&D by sector of performance and socio-economic objectives,I,CHL,Chile,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),GOV,Government sector,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NABS04,"Transport, telecommunication and other infrastructures",USD_PPP,"US dollars, PPP converted",V,Current prices,2017,,3.675581986,,,,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_SEO(1.0),Gross domestic expenditure on R&D by sector of performance and socio-economic objectives,I,COL,Colombia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),GOV,Government sector,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NABS06,Industrial production and technology,USD_PPP,"US dollars, PPP converted",V,Current prices,2016,,0.17569322,,,,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_SEO(1.0),Gross domestic expenditure on R&D by sector of performance and socio-economic objectives,I,AUS,Australia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),GOV,Government sector,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NABS14,Defence,USD_PPP,"US dollars, PPP converted",V,Current prices,2018,,338.0705912,,,,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_SEO(1.0),Gross domestic expenditure on R&D by sector of performance and socio-economic objectives,I,AUS,Australia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),GOV,Government sector,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NABS14,Defence,USD_PPP,"US dollars, PPP converted",V,Current prices,2016,,384.2345031,,,,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_SEO(1.0),Gross domestic expenditure on R&D by sector of performance and socio-economic objectives,I,AUS,Australia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),GOV,Government sector,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,USD_PPP,"US dollars, PPP converted",V,Current prices,2022,,3194.668628,,,,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_SEO(1.0),Gross domestic expenditure on R&D by sector of performance and socio-economic objectives,I,AUS,Australia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),GOV,Government sector,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,USD_PPP,"US dollars, PPP converted",Q,Constant prices,2015,,3174.057376,,E,Estimated value,,,,,,,,,,,,,6,Millions,2020,,USD,US dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GERD@DF_GERD_SEO(1.0),Gross domestic expenditure on R&D by sector of performance and socio-economic objectives,I,AUS,Australia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),GOV,Government sector,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,USD_PPP,"US dollars, PPP converted",V,Current prices,2021,,2644.505441,,E,Estimated value,,,,,,,,,,,,,6,Millions,,,USD,US dollar,3,Three
